Time,bboxes,zone_count
16:09:40,"[[0.7763681  0.59995663 0.87328005 0.68983483]
 [0.09023712 0.6557057  0.16033748 0.7747439 ]
 [0.51557606 0.6143609  0.61618644 0.73082614]
 [0.9401179  0.57423425 1.         0.63997793]
 [0.6492093  0.5773794  0.74011403 0.69862443]
 [0.32967368 0.6034296  0.39052588 0.6807672 ]
 [0.6789509  0.79189503 0.7937591  0.9618499 ]
 [0.5733938  0.60768116 0.6734789  0.71575505]
 [0.86483145 0.54946864 0.9430034  0.61070806]
 [0.5851796  0.476095   0.65321755 0.5460834 ]
 [0.8909533  0.53547657 0.9821278  0.59251136]
 [0.7209656  0.562977   0.79003996 0.632286  ]
 [0.3310535  0.47740614 0.37209532 0.5318174 ]
 [0.07052723 0.5251676  0.12109914 0.59256023]
 [0.64033115 0.53559476 0.7722183  0.6468581 ]
 [0.00736293 0.6441767  0.08029872 0.76118594]
 [0.6435251  0.4512958  0.69477296 0.51086956]
 [0.187799   0.5206194  0.22969685 0.5779557 ]
 [0.77724403 0.7882647  0.88706183 0.8815428 ]
 [0.875379   0.75960845 0.9928243  0.8848288 ]
 [0.12724517 0.5315686  0.1759432  0.5925032 ]
 [0.9090402  0.55911636 0.9905361  0.62106085]
 [0.26964238 0.63197285 0.33657405 0.7047111 ]
 [0.5502792  0.76334757 0.7032691  0.9741973 ]
 [0.4583962  0.4392056  0.51477796 0.52222717]
 [0.45068294 0.83214575 0.56579256 0.9944781 ]
 [0.52616173 0.548077   0.5946972  0.625858  ]
 [0.40380135 0.49448794 0.44956693 0.5653158 ]
 [0.47896838 0.5968801  0.53898895 0.66184235]
 [0.46500835 0.55361354 0.5204266  0.64442873]
 [0.76536506 0.7759514  0.99760073 0.98771113]
 [0.32332987 0.83998454 0.4195422  0.9937581 ]
 [0.19035621 0.6374075  0.2645576  0.76533014]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:41,"[[0.77698386 0.6001908  0.87307686 0.69019276]
 [0.09029776 0.6541635  0.16073166 0.7748575 ]
 [0.51627266 0.61572385 0.61572826 0.7317064 ]
 [0.5715305  0.6077445  0.673459   0.71490884]
 [0.9400531  0.57478666 1.         0.6399771 ]
 [0.64964575 0.57624674 0.73945194 0.6994223 ]
 [0.6782856  0.7916493  0.7940011  0.9606521 ]
 [0.32894722 0.60246533 0.3891356  0.68091613]
 [0.5850367  0.47640488 0.6529518  0.54781926]
 [0.86513007 0.54912066 0.94533837 0.6109101 ]
 [0.33055717 0.47636276 0.37214127 0.5328876 ]
 [0.72474396 0.5601795  0.7897408  0.632857  ]
 [0.8880513  0.5345922  0.98354286 0.5916268 ]
 [0.64336866 0.4510427  0.6949067  0.50854206]
 [0.06888716 0.52540046 0.12017636 0.59229136]
 [0.63898236 0.5343095  0.7697248  0.6475057 ]
 [0.1877147  0.52028745 0.23084532 0.579044  ]
 [0.00600736 0.6395921  0.08290326 0.7631971 ]
 [0.77694815 0.7878702  0.8880647  0.88095164]
 [0.12699056 0.5306338  0.17609572 0.59225476]
 [0.55117506 0.763603   0.70373434 0.9726278 ]
 [0.87660754 0.76021004 0.99207187 0.88329333]
 [0.90670216 0.55970603 0.99229014 0.6208971 ]
 [0.403535   0.49469894 0.44969907 0.5648241 ]
 [0.52850324 0.55106366 0.5953707  0.6265598 ]
 [0.45173123 0.8334313  0.5659883  0.99130297]
 [0.26943713 0.63248986 0.33566952 0.70504075]
 [0.32297823 0.83930784 0.42035204 0.9946882 ]
 [0.45882314 0.4400132  0.5154916  0.52272487]
 [0.19358046 0.5985438  0.23961022 0.6615927 ]
 [0.18932013 0.6358134  0.26542968 0.7658132 ]
 [0.46420708 0.5530988  0.5215046  0.6454731 ]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:42,"[[0.7768194  0.6002846  0.872351   0.69032204]
 [0.08980685 0.65315425 0.16145328 0.7745476 ]
 [0.51645964 0.6167636  0.6162227  0.73139095]
 [0.9397921  0.57334405 1.         0.64045197]
 [0.32854864 0.6028618  0.38782668 0.68071723]
 [0.64994586 0.57767594 0.7393452  0.69914937]
 [0.6791902  0.79061806 0.79340756 0.9615093 ]
 [0.57082266 0.6080503  0.6724681  0.7149858 ]
 [0.72393435 0.5610866  0.78974813 0.63235474]
 [0.8654545  0.54930246 0.9445376  0.61032385]
 [0.5849021  0.47661507 0.6535578  0.5488275 ]
 [0.33075994 0.47640234 0.37255728 0.5328606 ]
 [0.8884549  0.5348377  0.9837921  0.5916253 ]
 [0.64354444 0.45024744 0.6946583  0.50805134]
 [0.6390769  0.5351269  0.76923555 0.6480881 ]
 [0.00610286 0.63861275 0.08301641 0.7637281 ]
 [0.06903148 0.5252573  0.11995028 0.5917257 ]
 [0.7771862  0.78775764 0.88711303 0.88109976]
 [0.18784234 0.52063656 0.23092663 0.5796019 ]
 [0.8766971  0.7600615  0.99119323 0.8838109 ]
 [0.32159153 0.8393817  0.4215644  0.9945942 ]
 [0.5289255  0.54981905 0.596957   0.6275353 ]
 [0.9091159  0.55873233 0.98956317 0.6209113 ]
 [0.12651077 0.531298   0.17657723 0.5923223 ]
 [0.4034618  0.4934521  0.44928226 0.5652411 ]
 [0.5524809  0.7639501  0.7057359  0.97121155]
 [0.26953533 0.6316497  0.335474   0.70466375]
 [0.45815966 0.4401356  0.515869   0.5225177 ]
 [0.4525663  0.8340037  0.5657469  0.9902613 ]
 [0.46394643 0.55283904 0.5212426  0.6446876 ]
 [0.18942176 0.637387   0.26599225 0.76482487]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:43,"[[0.77575237 0.60038865 0.87274885 0.68977195]
 [0.09116375 0.65426415 0.16048613 0.77454585]
 [0.5162104  0.61629826 0.6164235  0.7302756 ]
 [0.32899264 0.6015912  0.38787043 0.68016547]
 [0.93954104 0.5741071  1.         0.6400898 ]
 [0.64985526 0.5804321  0.73911023 0.69823384]
 [0.5716861  0.60748035 0.67370695 0.71462274]
 [0.67893964 0.7919338  0.79342175 0.9601852 ]
 [0.72401386 0.5642293  0.78984046 0.630785  ]
 [0.86468774 0.549437   0.9448872  0.61015093]
 [0.5855564  0.47807834 0.6535066  0.5504432 ]
 [0.88743484 0.5355918  0.98342806 0.59307253]
 [0.07072289 0.5253662  0.12043417 0.5926539 ]
 [0.33134538 0.4781147  0.37264764 0.53242856]
 [0.00639897 0.6410794  0.08145618 0.7629559 ]
 [0.6384639  0.53457767 0.77066284 0.6457624 ]
 [0.6447741  0.45228216 0.6950888  0.50909823]
 [0.18839021 0.5221338  0.23148125 0.58067256]
 [0.90808856 0.55849564 0.9905347  0.620233  ]
 [0.55036414 0.76105666 0.7034384  0.9736641 ]
 [0.12677874 0.53031486 0.17639838 0.59229726]
 [0.402871   0.49369624 0.4499465  0.5647587 ]
 [0.7773379  0.78863776 0.8846772  0.8817431 ]
 [0.5298117  0.5492296  0.5954591  0.62664855]
 [0.87707466 0.7606886  0.99259496 0.8833264 ]
 [0.27044353 0.6319424  0.33483216 0.7054267 ]
 [0.32192653 0.8399716  0.41777813 0.9922625 ]
 [0.45801172 0.44087708 0.516085   0.521781  ]
 [0.45019996 0.83409077 0.568287   0.99153507]
 [0.18961003 0.63821775 0.2657097  0.76566136]
 [0.4639631  0.55274755 0.52059394 0.6442374 ]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:44,"[[0.7757843  0.6001659  0.8727984  0.6904633 ]
 [0.09024754 0.65428215 0.16097121 0.7751099 ]
 [0.51626635 0.6157696  0.61668456 0.7306674 ]
 [0.32880825 0.60077    0.3887416  0.6804061 ]
 [0.9396171  0.5742132  1.         0.6400494 ]
 [0.64987785 0.5807816  0.7392854  0.69864506]
 [0.67817897 0.79217136 0.79374933 0.9606366 ]
 [0.5731222  0.60774374 0.67370564 0.71444976]
 [0.7235914  0.56551176 0.78953433 0.63105315]
 [0.8646458  0.54926544 0.94444144 0.61017656]
 [0.07170939 0.52528733 0.12090711 0.592905  ]
 [0.3310424  0.47794396 0.37246847 0.53177255]
 [0.58488446 0.47716418 0.6537296  0.54850894]
 [0.888317   0.53563994 0.9840652  0.5938339 ]
 [0.00577776 0.6423139  0.08164051 0.7620486 ]
 [0.64386135 0.45191267 0.693918   0.50896966]
 [0.63870865 0.5345031  0.7709608  0.6454228 ]
 [0.5500754  0.7612355  0.706125   0.97264045]
 [0.12716119 0.53051054 0.17616351 0.5924993 ]
 [0.18815324 0.52221483 0.23166236 0.57987934]
 [0.402457   0.49266437 0.4499931  0.56459105]
 [0.90973836 0.55862707 0.99106944 0.62058574]
 [0.7772445  0.7888417  0.8840176  0.8821679 ]
 [0.45410797 0.8326021  0.56929874 0.9960691 ]
 [0.5293751  0.54926574 0.5952834  0.6264924 ]
 [0.27062693 0.6316094  0.33515772 0.7041818 ]
 [0.87704796 0.7604494  0.99251974 0.8831012 ]
 [0.457811   0.441001   0.5151736  0.5217219 ]
 [0.32075626 0.83985084 0.4196584  0.9931051 ]
 [0.18970595 0.6382743  0.26574203 0.76572144]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:45,"[[0.776518   0.6001695  0.87261546 0.6900436 ]
 [0.09069851 0.6546504  0.16053373 0.7739715 ]
 [0.51573277 0.61585104 0.61647856 0.7316098 ]
 [0.32902986 0.5999162  0.3875898  0.68106073]
 [0.93957156 0.5741798  1.         0.63964987]
 [0.6499656  0.5809559  0.7392784  0.69941866]
 [0.57303345 0.607504   0.67358935 0.7157173 ]
 [0.6786625  0.7924166  0.7932271  0.95876294]
 [0.5853706  0.47896683 0.65261567 0.54856914]
 [0.72158766 0.5653484  0.78935033 0.6309693 ]
 [0.8635794  0.550223   0.9445694  0.6099119 ]
 [0.8872922  0.53422755 0.98468643 0.58924717]
 [0.33059725 0.47773382 0.37196994 0.5318067 ]
 [0.07035618 0.5254307  0.12122441 0.59332323]
 [0.64318657 0.45031428 0.6945362  0.5070086 ]
 [0.6405594  0.5354571  0.77231914 0.643369  ]
 [0.18827653 0.52130926 0.23099777 0.58043945]
 [0.00528689 0.63970995 0.08212756 0.7628023 ]
 [0.45347112 0.8329196  0.5671261  0.99588335]
 [0.5486719  0.7623259  0.70464504 0.97209466]
 [0.12685576 0.53029317 0.17608242 0.5920882 ]
 [0.2712945  0.63162    0.33534157 0.70471793]
 [0.40282047 0.49337384 0.4502967  0.56401396]
 [0.77800065 0.7894876  0.8838516  0.88176936]
 [0.52690995 0.54973704 0.5934403  0.62683785]
 [0.9102686  0.5614144  0.9934234  0.6220069 ]
 [0.8764831  0.76127857 0.9925096  0.8841758 ]
 [0.3231919  0.83954585 0.41743967 0.99317795]
 [0.4579765  0.43918487 0.51437867 0.5227974 ]
 [0.19015707 0.6391394  0.26524565 0.7643542 ]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:46,"[[0.77653563 0.6001522  0.8720369  0.68992066]
 [0.09089225 0.65530235 0.16061448 0.7744471 ]
 [0.51630276 0.61645555 0.61640257 0.73176986]
 [0.32984504 0.6010195  0.38817894 0.6807596 ]
 [0.9393684  0.5739416  1.         0.63974714]
 [0.6500678  0.58144623 0.7392315  0.6995846 ]
 [0.5849609  0.47891483 0.6527878  0.54832935]
 [0.5728675  0.6072726  0.67372113 0.71584105]
 [0.6791578  0.79230237 0.7927632  0.9588377 ]
 [0.72345054 0.56680214 0.79002094 0.630987  ]
 [0.8637618  0.5502897  0.94446903 0.6096651 ]
 [0.3306267  0.47756076 0.3721039  0.53239566]
 [0.8865997  0.5346424  0.9837161  0.5898705 ]
 [0.64292985 0.45008382 0.69400716 0.5073568 ]
 [0.06995986 0.5253328  0.12073432 0.5929081 ]
 [0.639943   0.53498584 0.76970446 0.6441683 ]
 [0.00499412 0.6389617  0.08274432 0.76341057]
 [0.54741055 0.76279944 0.7051697  0.9714867 ]
 [0.1881887  0.52108437 0.23100644 0.58103263]
 [0.12686555 0.5304907  0.17600942 0.59213823]
 [0.2711794  0.631322   0.3351853  0.7044216 ]
 [0.7779506  0.7894361  0.8837693  0.8818914 ]
 [0.40319076 0.49427173 0.44978356 0.56450486]
 [0.9111673  0.56196886 0.9936745  0.62279004]
 [0.87694186 0.7614302  0.99241745 0.8840934 ]
 [0.52641034 0.5486561  0.595273   0.62734616]
 [0.45550305 0.8329561  0.5681936  0.99535376]
 [0.1896951  0.6400511  0.2658144  0.7638055 ]
 [0.45740974 0.43838033 0.5144239  0.5225403 ]]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:47,"[[0.77736276 0.6001916  0.8725725  0.68979   ]
 [0.09071888 0.65476054 0.16086356 0.7749699 ]
 [0.32899523 0.6036255  0.3862477  0.68052846]
 [0.51434964 0.6145333  0.6173384  0.73108184]
 [0.9381068  0.5752894  1.         0.63977206]
 [0.7248608  0.5651108  0.78960603 0.6311072 ]
 [0.57199883 0.6074466  0.6735625  0.7157365 ]
 [0.5849372  0.4785868  0.65292025 0.54836273]
 [0.6498307  0.58120847 0.73948914 0.6996566 ]
 [0.6790768  0.7927867  0.7931591  0.95895827]
 [0.887007   0.53434044 0.9835435  0.58905154]
 [0.86311996 0.5508064  0.94363016 0.6094247 ]
 [0.07040913 0.5251607  0.12047452 0.59267044]
 [0.33091265 0.47812268 0.37189218 0.53150547]
 [0.6427989  0.44971284 0.6934302  0.5082423 ]
 [0.1271502  0.53033257 0.17579961 0.59208703]
 [0.6400597  0.53498507 0.7694509  0.64532346]
 [0.18824884 0.5214501  0.2307719  0.5792754 ]
 [0.2712587  0.6310946  0.33540803 0.7053308 ]
 [0.54761636 0.7632893  0.7031642  0.97048795]
 [0.00656231 0.638358   0.08328438 0.7641845 ]
 [0.7778497  0.7893444  0.883106   0.8826997 ]
 [0.9140865  0.56327987 0.9951217  0.6234387 ]
 [0.5259369  0.54871064 0.59416    0.6257378 ]
 [0.403067   0.49509537 0.44961238 0.5656665 ]
 [0.87752587 0.76176167 0.9910049  0.8830094 ]
 [0.45338544 0.8337112  0.56755924 0.99412954]
 [0.18976639 0.6384658  0.266126   0.76490575]]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:48,"[[0.77737963 0.60010296 0.8726733  0.689637  ]
 [0.09066224 0.6545752  0.16100919 0.77519417]
 [0.32888636 0.6034069  0.38684204 0.6805213 ]
 [0.51424813 0.61494976 0.6171184  0.73114264]
 [0.9382211  0.5749009  1.         0.6397803 ]
 [0.57222    0.607676   0.6735105  0.7154266 ]
 [0.5851747  0.47818983 0.65293556 0.5476574 ]
 [0.6498659  0.5819344  0.7394438  0.69962263]
 [0.67957103 0.7931095  0.7927587  0.9588038 ]
 [0.7244138  0.56517154 0.78962433 0.6312367 ]
 [0.8632253  0.5508511  0.94462216 0.60915536]
 [0.8849415  0.5347771  0.98342556 0.58936435]
 [0.3309895  0.47848967 0.37209558 0.5311882 ]
 [0.07051456 0.52527595 0.12036923 0.59263724]
 [0.6425848  0.4498837  0.6936208  0.5090614 ]
 [0.640314   0.5348211  0.770628   0.64539266]
 [0.12689047 0.5302921  0.17605355 0.59226143]
 [0.18798968 0.52107966 0.23037489 0.5785588 ]
 [0.00639543 0.6380419  0.0830245  0.7643556 ]
 [0.2707161  0.6316719  0.33557352 0.7052212 ]
 [0.77791065 0.7890097  0.8827304  0.882614  ]
 [0.9124866  0.5622486  0.9952601  0.6221744 ]
 [0.54742366 0.7640209  0.7036026  0.9707978 ]
 [0.5261761  0.54907787 0.5938556  0.62563914]
 [0.87787986 0.7617946  0.99049413 0.88217944]
 [0.40287688 0.4957397  0.44953004 0.56529254]
 [0.18971705 0.63875824 0.26630697 0.7648566 ]
 [0.45450646 0.83853704 0.5673553  0.99042726]
 [0.4580077  0.43758437 0.51465887 0.52292496]]","[0, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
16:09:49,"[[0.7768307  0.59965736 0.8739504  0.6900671 ]
 [0.09153952 0.65434647 0.16021463 0.77473116]
 [0.32778755 0.60351425 0.3861635  0.6796628 ]
 [0.5133004  0.615448   0.6165102  0.73163503]
 [0.9388281  0.5727516  1.         0.64002955]
 [0.6491886  0.5788955  0.7403462  0.6990774 ]
 [0.5719916  0.6069701  0.67343897 0.7144339 ]
 [0.07022854 0.5242186  0.12082254 0.59256375]
 [0.6799331  0.7920519  0.79238963 0.9603819 ]
 [0.33096373 0.47824356 0.37263042 0.5314642 ]
 [0.8644463  0.5493105  0.94557244 0.6103448 ]
 [0.5872386  0.47617614 0.65214616 0.5481838 ]
 [0.6426932  0.4503097  0.69175774 0.509364  ]
 [0.8864455  0.5352646  0.9817204  0.59164333]
 [0.63937485 0.53376323 0.77352613 0.64865226]
 [0.00600838 0.6384392  0.0828565  0.76538897]
 [0.12589899 0.5306933  0.1768997  0.59113294]
 [0.18701962 0.52038467 0.23025657 0.5769625 ]
 [0.32628453 0.8381145  0.41326177 0.9955038 ]
 [0.72132635 0.5669657  0.7891371  0.6331706 ]
 [0.87821347 0.76104385 0.991254   0.8819388 ]
 [0.9104151  0.5601675  0.9940584  0.6221817 ]
 [0.45850757 0.43708298 0.5155656  0.5227243 ]
 [0.27130452 0.6324467  0.33416808 0.7060554 ]
 [0.7772604  0.78909445 0.8851247  0.8818381 ]
 [0.5500207  0.76408064 0.70110565 0.97294885]
 [0.4787794  0.59880686 0.538539   0.6614153 ]
 [0.45665905 0.8359015  0.56736344 0.9932371 ]
 [0.4019016  0.49387938 0.4502149  0.5650296 ]
 [0.52456254 0.5471605  0.5917223  0.62641233]
 [0.18943729 0.6371979  0.26568788 0.7648205 ]
 [0.4634076  0.5511652  0.5195584  0.6440978 ]]","[1, 1, 1, 1, 1, 1, 0, 0, 0, 1, 1, 1, 1, 0, 1, 1, 1, 2, 1, 0, 1, 1, 1, 0, 0, 0, 1, 0, 0, 0, 1]"
